low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,student_feature,repayment_capability,is_high_user,number_of_trans_from_2011,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,reg_preference_for_trad,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,status,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day
0.02,0.78,2500,1.9,0.83,0.336,23.0,20.0,15.0,3.0,1.0,15800,0,71.0,202730,311.0,0.3,30640,7.0,1890,0.3,1480,0.45,1.0,7.0,20.0,7.0,20.0,0.0,2.0,7.0,7.0,499325.0,2950,3.0,0.0,0,16580,0.0,0,2682.0,84.0,617.0,76.0,5.0,4.0,1.0,7.0,2.0,3.0,6.0,587.0,73.0,6.0,5.0,0.0,5.0,3.0,2.0,0.0,0.0,3.0,11.0,7.0,0.0,0.0,349.0,900.0,71.0,2.0,2.0,1000.0,750.0,14000.0,75.0,3.0,3.0,31200.0,15500.0,14.0,104.0
0.01,0.99,3000,0.91,0.93,0.305,21.0,17.0,14.0,3.0,1.0,17150,0,13.0,159920,113.0,0.55,30300,7.0,9310,0.4,1350,0.4,1.0,7.0,12.0,7.0,12.0,0.0,4.0,8.0,8.0,0.0,1300,4.0,0.0,1300,11390,0.0,0,495.0,82.0,543.0,71.0,10.0,6.0,3.0,16.0,5.0,6.0,6.0,506.0,73.0,45.0,44.0,2.0,13.0,1.0,12.0,1.0,3.0,13.0,52.0,19.0,1.0,0.0,321.0,1900.0,72.0,12.0,13.0,2700.0,1825.0,21600.0,78.0,1.0,1.0,21600.0,21600.0,5.0,9.0
0.02,0.98,0,0.38,0.43,0.052000000000000005,7.0,62.0,77.0,2.0,1.001138952164009,11130,0,12.0,60530,20.0,0.95,1540,3.0,520,1.0,1230,0.5146666666666655,1.0,0.0,62.0,0.0,62.0,0.6423290203327172,3.0,10.0,10.0,0.0,110,1.0,0.0,0,0,0.0,0,981.0,107.0,620.0,73.0,6.0,2.0,3.0,6.0,2.0,5.0,6.0,575.0,76.0,3.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,230.0,1700.0,71.0,1.0,1.0,1700.0,1700.0,18000.0,78.0,1.0,1.0,18000.0,18000.0,10.0,139.0
0.02,0.97,0,1.33,0.81,0.513,21.0,22.0,21.0,3.0,1.001138952164009,28960,0,21.0,334670,202.0,0.6,56050,7.0,2000,0.3,1100,0.5,1.0,9.0,22.0,9.0,22.0,0.0,1.0,6.0,6.0,7.0,1150,10.0,0.0,1150,23470,0.0,0,863.0,82.0,606.0,74.0,19.0,11.0,6.0,28.0,2.0,13.0,16.0,572.0,76.0,60.0,55.0,3.0,21.0,8.0,13.0,1.0,3.0,18.0,70.0,19.0,1.0,0.0,335.0,2100.0,76.0,13.0,14.0,2800.0,1892.0,37100.0,77.0,8.0,8.0,64800.0,14400.0,22.0,5.0
0.01,0.93,1500,1.7,0.55,0.25,21.0,24.0,17.0,4.0,1.001138952164009,6750,0,36.0,140630,147.0,0.3,17790,8.0,3040,0.1,1430,0.45,1.0,5.0,16.0,5.0,16.0,0.0,1.0,2.0,4.0,938.0,2150,5.0,0.0,760,3230,0.0,0,2068.0,86.0,640.0,79.0,5.0,4.0,1.0,6.0,1.0,4.0,5.0,618.0,77.0,24.0,21.0,0.0,8.0,3.0,5.0,1.0,4.0,8.0,25.0,5.0,3.0,0.0,358.0,2300.0,77.0,5.0,5.0,3100.0,2160.0,13500.0,77.0,3.0,3.0,27000.0,17500.0,22.0,5.0
0.0,1.0,0,1.2,0.8,0.133,10.0,24.0,24.0,2.0,1.001138952164009,9010,0,12.0,49350,45.0,0.45,13360,7.0,1630,0.4,1470,0.45,1.0,13.0,18.0,13.0,18.0,0.6423290203327172,1.0,2.0,2.0,0.0,1130,2.0,0.0,0,2020,0.0,0,535.0,84.0,523.0,75.0,11.0,7.0,2.0,22.0,1.0,5.0,11.0,493.0,74.0,34.0,29.0,1.0,16.0,7.0,9.0,0.0,0.0,11.0,36.0,7.0,0.0,0.0,315.0,2300.0,70.0,9.0,12.0,5000.0,1877.0,4500.0,79.0,7.0,7.0,7800.0,3871.0,11.0,123.0
0.01,0.99,300,1.89,0.81,0.105,12.0,71.0,29.0,3.0,1.001138952164009,4410,0,25.0,31210,67.0,0.4,5290,7.0,5260,0.65,950,0.55,3.0,11.0,41.0,11.0,41.0,0.6423290203327172,0.0,3.0,3.0,0.0,2760,1.0,0.0,0,4620,0.0,0,1013.0,95.0,520.0,72.0,12.0,9.0,1.0,15.0,4.0,14.0,15.0,460.0,76.0,4.0,2.0,1.0,4.0,3.0,1.0,0.0,1.0,3.0,2.0,6.0,0.0,1.0,314.0,500.0,66.0,1.0,2.0,500.0,500.0,8400.0,80.0,3.0,4.0,16800.0,8300.0,2.0,61.0
0.01,0.99,2000,0.94,1.0,0.527,16.0,28.0,17.0,1.0,1.001138952164009,22930,0,13.0,255730,192.0,0.2,73630,9.0,2150,0.05,1190,0.5,1.0,6.0,9.0,6.0,9.0,1.0,3.0,5.0,5.0,58389.0,2020,5.0,0.0,7560,55770,0.0,1,461.0,82.0,528.0,72.0,17.0,5.0,8.0,21.0,2.0,7.0,12.0,483.0,76.0,79.0,71.0,5.0,28.0,9.0,19.0,1.0,2.0,27.0,80.0,30.0,1.0,1.0,353.0,2100.0,74.0,19.0,21.0,3200.0,1700.0,8600.0,81.0,9.0,10.0,16800.0,6011.0,23.0,9.0
0.0,0.92,6000,0.76,0.96,0.247,17.0,30.0,26.0,4.0,1.0,420,0,24.0,93890,177.0,0.45,13750,6.0,4650,0.65,1870,0.35,3.0,7.0,30.0,7.0,30.0,0.6423290203327172,0.0,2.0,2.0,0.0,2610,2.0,0.0,0,13970,0.0,0,814.0,82.0,607.0,82.0,5.0,5.0,0.0,6.0,2.0,4.0,6.0,579.0,84.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,84.0,3.0,3.0,12000.0,8333.0,17.0,244.0
0.02,0.98,1400,1.35,0.79,0.569,26.0,14.0,10.0,4.0,1.001138952164009,9800,0,48.0,463450,412.0,0.3,40770,8.0,0,0.1,1140,0.5,1.0,14.0,14.0,14.0,14.0,0.0,1.0,6.0,6.0,160.0,2000,8.0,0.0,1090,35870,0.0,1,1909.0,82.0,576.632584269663,75.99887640449438,11.97438202247191,6.02,3.7847191011235957,16.891235955056178,4.329438202247191,8.771910112359551,12.364269662921348,543.2059681400045,75.43863585371327,35.952210006730986,31.039937177473636,2.308952210006731,12.845411711913844,4.732331164460399,8.113080547453444,0.965896342831501,2.821853264527709,13.926856630020193,43.145613641462866,17.708548350908682,1.2243661655822302,1.3114202378281354,335.1599730760601,2089.2977339017275,71.99237155037021,8.113080547453444,8.685214269688132,3390.038142248149,1820.3578640341036,9187.00919901279,76.04262957146062,4.732331164460399,5.227507291900381,16153.690823423827,8007.6968813102985,24.112808988764044,55.18151222795603
0.01,0.99,900,0.17,0.48,0.455,20.0,21.0,20.0,4.0,1.0,5840,0,24.0,249770,207.0,0.65,10400,6.0,3340,0.4,1050,0.5,1.0,12.0,21.0,12.0,21.0,0.0,2.0,9.0,9.0,0.0,350,8.0,0.0,350,11780,0.0,0,1588.0,82.0,529.0,72.0,8.0,2.0,5.0,11.0,0.0,2.0,2.0,487.0,74.0,70.0,61.0,10.0,17.0,4.0,13.0,0.0,2.0,5.0,73.0,52.0,0.0,0.0,360.0,2000.0,73.0,13.0,13.0,3100.0,1761.0,6300.0,80.0,4.0,4.0,12900.0,6900.0,60.0,55.0
0.0,1.0,1000,2.29,0.95,0.172,11.0,27.0,27.0,2.0,1.0,10750,0,19.0,63040,76.0,0.7,11910,7.0,2670,0.65,1010,0.55,1.0,10.0,27.0,14.0,27.0,0.0,2.0,2.0,4.0,0.0,330,4.0,0.0,260,11750,0.0,0,688.0,95.0,636.0,85.0,4.0,3.0,0.0,4.0,0.0,2.0,3.0,613.0,71.0,14.0,12.0,0.0,4.0,1.0,3.0,1.0,3.0,4.0,11.0,7.0,1.0,0.0,340.0,2100.0,75.0,3.0,3.0,2800.0,1933.0,8400.0,65.0,1.0,1.0,8400.0,8400.0,33.0,5.0
0.03,0.94,300,34.34,1.0,0.49700000000000005,17.0,15.0,11.0,3.0,1.001138952164009,10390,0,23.0,233710,237.0,0.2,38810,8.0,4400,0.05,980,0.55,1.0,5.0,15.0,5.0,17.0,2.0,1.0,5.0,5.0,518523.0,2430,5.0,0.0,1000,10330,0.0,0,773.0,82.0,554.0,74.0,32.0,15.0,10.0,50.0,13.0,23.0,41.0,499.0,77.0,54.0,46.0,3.0,21.0,6.0,15.0,1.0,2.0,16.0,87.0,24.0,1.0,0.0,357.0,1900.0,77.0,15.0,17.0,4600.0,1733.0,16700.0,79.0,6.0,6.0,20400.0,8366.0,2.0,20.0
0.02,0.98,700,1.23,0.76,0.22699999999999998,17.0,36.0,24.0,2.0,1.001138952164009,13520,0,19.0,87280,94.0,0.45,19680,7.0,390,0.2,1080,0.5,1.0,11.0,14.0,11.0,14.0,0.0,0.0,2.0,2.0,0.0,1570,3.0,0.0,800,13880,0.0,0,818.0,85.0,576.632584269663,75.99887640449438,11.97438202247191,6.02,3.7847191011235957,16.891235955056178,4.329438202247191,8.771910112359551,12.364269662921348,543.2059681400045,75.43863585371327,35.952210006730986,31.039937177473636,2.308952210006731,12.845411711913844,4.732331164460399,8.113080547453444,0.965896342831501,2.821853264527709,13.926856630020193,43.145613641462866,17.708548350908682,1.2243661655822302,1.3114202378281354,335.1599730760601,2089.2977339017275,71.99237155037021,8.113080547453444,8.685214269688132,3390.038142248149,1820.3578640341036,9187.00919901279,76.04262957146062,4.732331164460399,5.227507291900381,16153.690823423827,8007.6968813102985,24.112808988764044,55.18151222795603
0.02,0.98,600,1.0,1.0,0.166,15.0,35.0,31.0,1.0,1.001138952164009,11690,0,9.0,23930,45.0,0.75,7590,6.0,1100,0.4,640,0.65,1.0,0.0,29.0,0.0,29.0,0.0,1.0,2.0,2.0,0.0,500,3.0,0.0,0,6160,0.0,0,344.0,94.0,618.0,72.0,7.0,3.0,3.0,7.0,1.0,4.0,6.0,591.0,76.0,6.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,297.0,2900.0,76.0,1.0,1.0,2900.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,149.0
0.01,0.99,0,0.75,1.0,0.272,16.0,102.0,37.0,2.0,1.001138952164009,14310,0,13.0,121620,104.0,0.35,42260,8.0,800,0.1,1010,0.55,3.0,6.0,19.0,6.0,19.0,1.0,1.0,4.0,5.0,47.0,1590,6.0,0.0,690,18760,0.0,1,460.0,90.0,498.0,74.0,18.0,4.0,6.0,21.0,10.0,11.0,17.0,458.0,77.0,38.0,24.0,7.0,15.0,9.0,6.0,4.0,10.0,26.0,27.0,65.0,0.0,27.0,332.0,2500.0,73.0,6.0,6.0,3900.0,2100.0,5000.0,83.0,9.0,9.0,8400.0,4055.0,14.0,16.0
0.0,0.82,5000,0.98,0.96,0.466,29.0,28.0,32.0,2.0,1.0,18860,0,22.0,432830,215.0,0.1,110430,7.0,4310,0.65,1780,0.4,1.0,16.0,28.0,26.0,28.0,0.0,0.0,2.0,2.0,0.0,31000,6.0,0.0,1960,27440,0.0,0,753.0,82.0,524.0,76.0,22.0,12.0,6.0,28.0,6.0,18.0,22.0,499.0,77.0,40.0,40.0,2.0,18.0,7.0,11.0,0.0,0.0,11.0,47.0,0.0,0.0,0.0,360.0,2400.0,75.0,11.0,11.0,7100.0,2709.0,10800.0,80.0,7.0,8.0,15600.0,9042.0,14.0,94.0
0.01,0.84,1000,35.66,0.98,0.302,18.0,22.0,17.0,4.0,1.001138952164009,13550,0,40.0,395880,298.0,0.5,16350,6.0,11600,0.2,1420,0.5,3.0,14.0,18.0,14.0,18.0,0.0,2.0,2.0,4.0,0.0,960,4.0,0.0,940,33370,0.0,0,1307.0,85.0,584.0,72.0,5.0,2.0,3.0,9.0,3.0,6.0,7.0,605.0,76.0,28.0,23.0,2.0,12.0,7.0,5.0,4.0,9.0,11.0,41.0,11.0,3.0,2.0,358.0,2100.0,73.0,5.0,5.0,3300.0,1760.0,8400.0,77.0,7.0,8.0,21600.0,9771.0,1.0,3.0
0.05,0.8,0,1.05,1.0,0.41100000000000003,20.0,22.0,13.0,3.0,1.0,15420,0,20.0,142700,175.0,0.2,21830,6.0,1920,0.1,650,0.7,1.0,6.0,22.0,6.0,22.0,0.0,0.0,8.0,8.0,0.0,6610,2.0,0.0,0,8140,0.0,0,667.0,91.0,631.0,75.0,12.0,6.0,2.0,19.0,12.0,14.0,19.0,602.0,76.0,9.0,9.0,0.0,7.0,4.0,3.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,354.0,2000.0,71.0,3.0,3.0,2000.0,1900.0,14000.0,79.0,4.0,4.0,28800.0,9850.0,22.0,79.0
0.0,1.0,0,0.51,0.58,0.28600000000000003,15.0,23.0,22.0,4.0,1.001138952164009,6200,0,37.0,146020,141.0,0.4,17480,8.0,790,0.2,1120,0.5,1.0,9.0,23.0,9.0,23.0,0.0,1.0,1.0,2.0,0.0,1280,2.0,0.0,0,2820,0.0,0,2000.0,83.0,646.0,72.0,6.0,4.0,1.0,7.0,1.0,7.0,7.0,629.0,77.0,18.0,18.0,0.0,6.0,2.0,4.0,3.0,5.0,8.0,16.0,0.0,4.0,0.0,339.0,1700.0,76.0,4.0,5.0,2200.0,1500.0,7300.0,78.0,2.0,2.0,7800.0,6900.0,8.0,2.0
0.03,0.97,0,1.04,0.86,0.25,10.0,257.0,22.0,3.0,1.001138952164009,18750,0,30.0,11310,165.0,1.0,2090,9.0,21480,1.0,1070,0.5,5.0,0.0,0.0,0.0,0.0,0.6423290203327172,0.0,1.0,1.0,155362.24492385786,0,1.0,0.0,0,0,0.0,0,1188.0,159.0,541.0,77.0,22.0,13.0,4.0,34.0,7.0,26.0,30.0,507.0,77.0,31.0,31.0,1.0,19.0,8.0,11.0,1.0,4.0,15.0,34.0,5.0,2.0,0.0,319.0,2700.0,76.0,11.0,13.0,7400.0,2481.0,5800.0,80.0,8.0,9.0,13800.0,5150.0,1.0,16.0
0.02,0.98,0,0.85,0.77,0.29100000000000004,16.0,25.0,15.0,2.0,1.001138952164009,16820,0,20.0,149130,128.0,0.6,16850,7.0,5370,0.65,1080,0.55,1.0,19.0,25.0,19.0,25.0,0.0,6.0,6.0,6.0,0.0,1320,6.0,0.0,0,14160,0.0,1,964.0,82.0,505.0,79.0,6.0,4.0,1.0,7.0,1.0,4.0,7.0,470.0,75.0,40.0,29.0,6.0,8.0,1.0,7.0,1.0,2.0,10.0,37.0,25.0,0.0,3.0,357.0,2800.0,74.0,7.0,8.0,3800.0,2514.0,10200.0,85.0,1.0,1.0,10200.0,10200.0,26.0,21.0
0.04,0.96,0,2.07,1.0,0.066,8.0,48.0,38.0,2.0,1.001138952164009,11090,0,6.0,8010,12.0,0.6,3560,4.0,540,1.0,800,0.6,1.0,0.0,48.0,0.0,48.0,0.6423290203327172,0.0,1.0,1.0,0.0,1100,1.0,0.0,0,0,0.0,0,259.0,94.0,534.0,86.0,3.0,1.0,1.0,4.0,0.0,1.0,1.0,492.0,78.0,12.0,10.0,2.0,7.0,4.0,3.0,0.0,1.0,5.0,13.0,8.0,0.0,0.0,297.0,2000.0,74.0,3.0,3.0,2300.0,1466.0,6300.0,79.0,4.0,5.0,19800.0,7150.0,38.0,77.0
0.01,0.97,0,1.09,0.56,0.397,16.0,32.0,20.0,3.0,1.001138952164009,12200,0,33.0,319020,219.0,1.0,78780,7.0,580,1.0,1310,0.5,1.0,0.0,20.0,0.0,20.0,0.0,5.0,36.0,36.0,0.0,0,12.0,0.0,0,36050,0.0,1,1847.0,88.0,525.0,79.0,21.0,10.0,8.0,29.0,1.0,6.0,19.0,466.0,78.0,52.0,33.0,12.0,24.0,11.0,13.0,0.0,2.0,26.0,38.0,93.0,0.0,1.0,357.0,1800.0,76.0,13.0,13.0,3600.0,1430.0,13900.0,80.0,11.0,11.0,27600.0,10945.0,16.0,67.0
0.04,0.96,1000,1.36,0.88,0.272,15.0,40.0,25.0,3.0,1.001138952164009,12820,0,30.0,80460,151.0,0.55,9790,6.0,450,0.4,810,0.75,1.0,10.0,40.0,10.0,40.0,0.0,0.0,4.0,4.0,0.0,980,3.0,0.0,530,8890,0.0,0,1108.0,86.0,642.0,77.0,6.0,1.0,3.0,7.0,4.0,5.0,7.0,617.0,75.0,31.0,31.0,0.0,6.0,2.0,4.0,0.0,0.0,9.0,53.0,1.0,0.0,0.0,342.0,1800.0,70.0,4.0,4.0,2200.0,1425.0,4800.0,79.0,2.0,2.0,4800.0,4800.0,23.0,128.0
0.0,1.0,3500,33.02,0.57,0.172,14.0,32.0,28.0,1.0,1.0,7500,0,21.0,79440,94.0,0.65,8810,7.0,1880,1.0,1480,0.45,3.0,0.0,32.0,0.0,32.0,0.0,0.0,3.0,3.0,0.0,900,7.0,0.0,0,8940,0.0,0,1182.0,84.0,617.0,77.0,4.0,1.0,3.0,5.0,2.0,3.0,4.0,590.0,75.0,11.0,11.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,332.0,2100.0,75.0,4.0,4.0,2400.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,149.0
0.03,0.97,1000,0.54,0.39,0.223,16.0,81.0,80.0,4.0,1.001138952164009,5700,0,26.0,29620,86.0,0.45,12330,8.0,22860,0.1,600,0.5,1.0,7.0,28.0,7.0,28.0,2.0,1.0,2.0,2.0,106.0,1010,5.0,0.0,0,3640,0.0,1,2061.0,85.0,628.0,78.0,9.0,5.0,1.0,12.0,1.0,4.0,8.0,611.0,75.0,6.0,4.0,0.0,5.0,4.0,1.0,0.0,1.0,4.0,15.0,15.0,0.0,0.0,334.0,3400.0,85.0,1.0,1.0,3400.0,3400.0,4700.0,74.0,4.0,4.0,21600.0,6925.0,26.0,53.0
